datetime,close_call,iv_call,spot,close_put,iv_put,straddle_cost,avg_iv
2026-02-06 10:05:00,276.65,9.491275,25531.75,215.45,11.689101,492.09999999999997,10.590188000000001
2026-02-06 10:10:00,291.6,9.274212,25515.8,200.65,11.684548,492.25,10.479379999999999
2026-02-06 10:15:00,274.1,9.032476,25544.85,212.0,11.784859,486.1,10.4086675
2026-02-06 10:20:00,275.85,9.116786,25544.7,211.65,11.767107,487.5,10.4419465
2026-02-06 10:25:00,287.25,9.333696,25506.65,205.8,11.748212,493.05,10.540954
2026-02-06 10:30:00,286.95,9.372141,25504.8,209.3,11.870973,496.25,10.621557
2026-02-06 10:35:00,292.05,9.116082,25522.45,200.9,11.820854,492.95000000000005,10.468468000000001
2026-02-06 10:40:00,284.1,9.311627,25502.4,209.2,11.823024,493.3,10.567325499999999
2026-02-06 10:45:00,286.55,9.276599,25507.8,206.7,11.812448,493.25,10.5445235
2026-02-06 10:50:00,283.25,9.388595,25498.25,208.8,11.728763,492.05,10.558679000000001
2026-02-06 10:55:00,292.75,9.152805,25522.5,200.05,11.786194,492.8,10.469499500000001
2026-02-06 11:00:00,271.5,8.87727,25546.75,211.75,11.815223,483.25,10.3462465
2026-02-06 11:05:00,276.0,8.743185,25559.1,206.8,11.825226,482.8,10.2842055
2026-02-06 11:10:00,258.7,8.824043,25576.4,221.2,11.831792,479.9,10.3279175
2026-02-06 11:15:00,258.55,8.771536,25578.2,222.8,11.937768,481.35,10.354652
2026-02-06 11:20:00,265.9,8.708251,25593.0,215.05,11.875778,480.95,10.2920145
2026-02-06 11:25:00,267.45,8.899013,25588.55,214.55,11.770242,482.0,10.3346275
2026-02-06 11:30:00,280.2,8.953088,25607.8,201.1,11.531573,481.29999999999995,10.2423305
2026-02-06 11:35:00,265.95,9.093124,25627.85,217.65,11.687541,483.6,10.3903325
2026-02-06 11:40:00,285.75,8.760195,25623.8,197.2,11.651161,482.95,10.205677999999999
2026-02-06 11:45:00,266.45,8.881373,25636.85,214.75,11.731403,481.2,10.306388
2026-02-06 11:50:00,259.25,8.856116,25625.65,220.35,11.766757,479.6,10.3114365
2026-02-06 11:55:00,265.75,8.97477,25632.25,217.95,11.787198,483.7,10.380984
2026-02-06 12:00:00,286.9,8.891256,25621.25,202.45,11.842787,489.34999999999997,10.3670215
2026-02-06 12:05:00,273.05,9.017937,25593.95,209.25,11.641495,482.3,10.329716000000001
2026-02-06 12:10:00,282.3,8.970513,25611.05,202.0,11.636828,484.3,10.303670499999999
2026-02-06 12:15:00,275.9,8.892897,25603.4,206.9,11.714713,482.79999999999995,10.303805
2026-02-06 12:20:00,287.0,8.953247,25570.3,198.0,11.646644,485.0,10.2999455
2026-02-06 12:25:00,289.1,8.95311,25573.75,196.2,11.62928,485.3,10.291195
2026-02-06 12:30:00,267.35,8.810055,25543.3,210.7,11.715111,478.05,10.262583
2026-02-06 12:35:00,274.65,8.898031,25552.25,207.65,11.747561,482.29999999999995,10.322796
2026-02-06 12:40:00,271.2,8.982795,25543.45,211.5,11.75491,482.7,10.3688525
2026-02-06 12:45:00,267.9,8.873102,25542.05,213.15,11.802697,481.04999999999995,10.337899499999999
2026-02-06 12:50:00,268.0,9.147047,25532.0,212.95,11.603468,480.95,10.3752575
2026-02-06 12:55:00,277.55,8.913139,25556.7,201.85,11.573416,479.4,10.2432775
2026-02-06 13:00:00,270.75,8.592661,25557.15,209.55,11.927246,480.3,10.2599535
2026-02-06 13:05:00,275.4,8.897088,25553.85,205.05,11.664988,480.45,10.281037999999999
2026-02-06 13:10:00,279.0,8.851706,25561.45,202.8,11.705934,481.8,10.27882
2026-02-06 13:15:00,281.4,8.73192,25569.65,197.9,11.637391,479.29999999999995,10.1846555
2026-02-06 13:20:00,278.75,8.618972,25569.4,199.15,11.689685,477.9,10.1543285
2026-02-06 13:25:00,278.0,8.597449,25569.0,198.9,11.67176,476.9,10.1346045
2026-02-06 13:30:00,275.05,8.638092,25562.85,201.6,11.680559,476.65,10.159325500000001
2026-02-06 13:35:00,258.9,8.624948,25585.85,211.8,11.61337,470.7,10.119159
